Like,ml2,Like1
Pfizer-BioNTech potential COVID-19 vaccine shows promise in additional data,20 Jul 2020, (Reuters) - German biotech firm BioNTech (O:BNTX) and U.S. drugmaker  Pfizer  (N:PFE) on Monday reported additional data from their experimental COVID-19 vaccine that showed it...
"StockBeat: AstraZeneca, Philips, Synairgen Put Virus Fight Center Stage",20 Jul 2020,"By Geoffrey Smith  Investing.com -- For most of the four months since Europe and North America went into lockdown to stop the Covid-19 virus, investors have been focusing on which..."
"Britain secures 90 million possible COVID-19 vaccine doses from Pfizer/BioNTech, Valneva",20 Jul 2020, By Alistair Smout LONDON (Reuters) - Britain has signed deals to secure 90 million doses of two possible COVID-19 vaccines from an alliance of  Pfizer  Inc (N:PFE) and BioNTech...
Stocks - Europe Lower Amid Doubts Over Summit; Philips Gains,20 Jul 2020,"By Peter Nurse  Investing.com - European stock markets weakened Monday, amid disappointment at signs that the region’s leaders are preparing to water down an agreement over the..."
UPDATE 1-UK Stocks-Factors to watch on July 20,20 Jul 2020,"Britain's FTSE 100 (.FTSE) index is seen opening 5 points lower at 6,286 on Monday, according to financial bookmakers, with futures (FFIc1) almost flat ahead of cash markets..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.61%,17 Jul 2020,"Investing.com – U.K. equities were higher at the close on Friday, as gains in the Pharmaceuticals & Biotech, Electrical and Healthcare Equipment & Services sectors propelled shares..."
Early-stage trial data on AstraZeneca COVID-19 vaccine due July 20 - Lancet,15 Jul 2020, LONDON (Reuters) - The Lancet medical journal said on Wednesday it will publish keenly-awaited phase 1 clinical trial data on a potential COVID-19 vaccine being developed by ...
Vaccine alliance says 75 countries keen to join 'COVAX' access facility,15 Jul 2020, By Kate Kelland LONDON (Reuters) - More than 75 countries have expressed interest in joining the COVAX financing scheme designed to guarantee fast and equitable access globally to...
"Exclusive: EU secures potential COVID-19 drugs from Roche, Germany's Merck - source",08 Jul 2020, By Francesco Guarascio BRUSSELS (Reuters) - The European Commission has struck deals with drugmakers Roche and Merck KGaA to secure supplies of experimental treatments for...
UPDATE 1-UK Stocks-Factors to watch on July 8,08 Jul 2020,"Britain's FTSE 100 (.FTSE) index is seen opening 24 points lower at 6,166 on Wednesday, according to financial bookmakers, with futures (FFIc1) down 1% ahead of cash markets..."
Emergent signs 5-yr deal backing J&J COVID-19 vaccine,06 Jul 2020, (Reuters) - Emergent BioSolutions Inc (N:EBS) said on Monday it signed a five-year contract to make the drug substance used in Johnson & Johnson's (N:JNJ) COVID-19 vaccine...
Britain nears $625 million Sanofi/GSK COVID-19 vaccine deal - report,05 Jul 2020, By Alistair Smout LONDON (Reuters) - Britain is close to a 500 million pound ($624 million) supply deal with Sanofi and GlaxoSmithKline for 60 million doses of a potential...
UPDATE 1-UK Stocks-Factors to watch on June 30,30 Jun 2020,"June 30 (Reuters) - Britain's FTSE 100 (.FTSE) index is seen opening lower on Tuesday, with futures (FFIc1) down 0.23% ahead of cash markets open. * GDP: Britain's economy shrank..."
UPDATE 1-UK Stocks-Factors to watch on June 29,29 Jun 2020,"June 29 (Reuters) - Britain's FTSE 100 index (.FTSE) is seen opening 28 points lower at 6,131 on Monday, according to financial bookmakers, with futures (FFIc1) down 0.68% ahead of..."
Daiichi Sankyo in talks with AstraZeneca on virus vaccine supply in Japan,26 Jun 2020, TOKYO (Reuters) - Daiichi Sankyo Co (T:4568) is in discussions to provide supplies of a potential coronavirus vaccine now being developed by AstraZeneca Plc (L:AZN) and the...
UPDATE 1-UK Stocks-Factors to watch on June 26,26 Jun 2020,"Britain's FTSE 100 (.FTSE) index is seen opening 81 points higher at 6,228 on Friday, according to financial bookmakers, with futures (FFIc1) up 0.68% ahead of cash marktes..."
Vaccine makers face biggest medical manufacturing challenge in history,25 Jun 2020, By Julie Steenhuysen and Kate Kelland CHICAGO/LONDON (Reuters) - Developing a COVID-19 vaccine in record time will be tough. Producing enough to end the pandemic will be the...
UPDATE 1-UK Stocks-Factors to watch on June 25,25 Jun 2020,"ROYAL MAIL: Britain's Royal Mail (RMG.L) laid out restructuring plans that will affect around 2,000 management roles and see it save 130 million pounds in staffing costs next..."
Prince William visits Oxford COVID-19 vaccine developers,24 Jun 2020, LONDON (Reuters) - Britain's Prince William on Wednesday visited the Oxford-based scientists who are working to develop a viable vaccine for COVID-19 as well as trial participants...
AstraZeneca taps Scottish firm for tenth COVID-19 vaccine supply deal,24 Jun 2020, (Reuters) - AstraZeneca (L:AZN) has signed its tenth supply-and-manufacturing deal for its experimental COVID-19 vaccine with a Scotland-backed firm as the British drugmaker ramps...
Pig trial of AstraZeneca's COVID-19 vaccine shows promise with two shots,23 Jun 2020, By Kate Kelland LONDON (Reuters) - A trial in pigs of AstraZeneca's (L:AZN) experimental COVID-19 vaccine has found that two doses of the shot produced a greater antibody response...
Exclusive: EU in advanced talks with Johnson & Johnson on COVID-19 vaccine deal - sources,18 Jun 2020, By Elvira Pollina and Francesco Guarascio BRUSSELS (Reuters) - The European Commission is in advanced talks with pharmaceuticals giant Johnson & Johnson (N:JNJ) to reserve or make...
France gives its drugs industry a shot in the arm to tackle pandemic,16 Jun 2020," By Gonzalo Fuentes MARCY-L'ETOILE, France (Reuters) - France's president and top drugmaker announced plans on Tuesday to bolster domestic production of medicines as countries..."
Cobra Biologics signs AstraZeneca deal to supply COVID-19 vaccine,16 Jun 2020," LONDON (Reuters) - Cobra Biologics on Tuesday said it had signed a supply agreement with AstraZeneca (L:AZN) to manufacture its COVID-19 vaccine candidate, with a view to a first..."
AstraZeneca COVID-19 vaccine likely to protect for a year - CEO,16 Jun 2020," BRUSSELS (Reuters) - AstraZeneca's (L:AZN) potential coronavirus vaccine is likely to provide protection against contracting COVID-19 for about a year, the company's chief..."
Singapore scientists to start human trials of COVID-19 vaccine in August,16 Jun 2020, SINGAPORE (Reuters) - Singapore scientists testing a COVID-19 vaccine from U.S. firm Arcturus Therapeutics (O:ARCT) plan to start human trials in August after promising initial...
UPDATE 1-UK Stocks-Factors to watch on June 15,15 Jun 2020,"Britain's FTSE 100 .FTSE index is seen opening 45 points lower at 6,060 on Monday, according to financial bookmakers, with futures down 2.59% ahead of cash markets open. * EASYJET:..."
AstraZeneca agrees to supply Europe with 400 mln doses of COVID-19 vaccine,14 Jun 2020," ROME (Reuters) - AstraZeneca Plc (L:AZN) has signed a contract with European governments to supply the region with its potential vaccine against the coronavirus, the British..."
UK Stocks-Factors to watch on June 10,10 Jun 2020,"June 10 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 18 points higher at 6,353 on Wednesday, according to financial bookmakers. * SEGRO: Warehousing specialist Segro..."
AstraZeneca wins fresh U.S. funding in race for COVID-19 treatment,09 Jun 2020, (Reuters) - AstraZeneca (L:AZN) on Tuesday received $23.7 million in funding from a U.S. government agency to advance the development of antibody-based COVID-19 treatments as the...
UK Stocks-Factors to watch on June 9,09 Jun 2020,"June 9 (Reuters) - Britain's FTSE 100 .FTSE index is seen opening 6 points higher at 6,478 on Tuesday, according to financial bookmakers. * BARCLAYS: British businesswoman Amanda..."
"AstraZeneca, Gilead merger doubted by Wall Street analysts",08 Jun 2020," By Manas Mishra (Reuters) - A merger between AstraZeneca (L:AZN) and  Gilead Sciences Inc  (O:GILD) is unlikely due to significant political hurdles, Wall Street analysts said on..."
UK stocks end lower on concerns over corporate debt; AstraZeneca weighs,08 Jun 2020, By Shreyashi Sanyal and Ambar Warrick (Reuters) - British stocks ended lower on Monday after a series of strong sessions as heavyweight AstraZeneca slipped on a report that it had...
"Stocks - Europe Slips, Consolidating After Gloomy German Data",08 Jun 2020,"By Peter Nurse  Investing.com - European stock markets sold off Monday, after last week’s strong gains, following an illustration of the depth of the slowdown in Germany and weak..."
Oxford Biomedica eyes UK supply boost of AstraZeneca's COVID-19 vaccine,08 Jun 2020, (Reuters) -  Oxford Biomedica  (L:OXB) has signed a new manufacturing agreement with a group backed by the UK government to help it scale up production of AstraZeneca's (L:AZN)...
UPDATE 1-UK Stocks-Factors to watch on June 8,08 Jun 2020,(Adds company news items) June 8 (Reuters) - Britain's FTSE 100 index FFIc1 futures are down 0.58% on Monday. * AMIGO: British subprime lender Amigo AMG.L is no longer up for sale...
UK Stocks-Factors to watch on June 8,08 Jun 2020,June 8 (Reuters) - Britain's FTSE 100 futures FFIc1 index down 0.58% on Monday. * ASTRAZENECA: Britain's AstraZeneca AZN.L has approached U.S. rival Gilead Sciences GILD.O about a...
AstraZeneca contacted Gilead over potential megamerger - Bloomberg News,07 Jun 2020, By Paul Sandle and Pamela Barbaglia LONDON (Reuters) - Britain's AstraZeneca (L:AZN) has approached U.S. rival Gilead Sciences (O:GILD) about a possible merger to form one of the...
UK Stocks-Factors to watch on June 5,05 Jun 2020,"June 5(Reuters) - Britain's FTSE 100 .FTSE index is seen opening higher on Friday, with futures FFIc1 up 0.7%. * CONSUMERS: British consumer confidence in late May fell to its..."
"AstraZeneca targets 2 billion doses, poor countries with COVID vaccine deals",04 Jun 2020, (Reuters) - British drugmaker AstraZeneca (L:AZN) has doubled manufacturing capacity for its potential coronavirus vaccine to 2 billion doses in two deals involving Microsoft...
UK stocks end lower as risk rally pauses for breath,04 Jun 2020," By Ambar Warrick (Reuters) - UK shares hit their highest in nearly three-months on Thursday on bets of a rebound in post-coronavirus economic activity, but later reversed course..."
AstraZeneca aims at two billion doses with new COVID vaccine deals,04 Jun 2020," (Reuters) - Britain's AstraZeneca (L:AZN) will be able to deliver 2 billion doses of its potential coronavirus vaccine this year and next, double the previous numbers, thanks to..."
EU to use $2.7 billion fund to buy promising COVID-19 vaccines,04 Jun 2020, BERLIN/BRUSSELS (Reuters) - The European Union is preparing to use an emergency 2.4-billion- euro ($2.7 billion) fund to make advance purchases of promising vaccines against the...
Brazil to start testing Oxford vaccine against the coronavirus this month,03 Jun 2020, By Eduardo Simões SAO PAULO (Reuters) - Brazil this month will start testing an experimental vaccine against the novel coronavirus being developed by researchers at the University...
AstraZeneca scores twin drug approvals alongside vaccine progress,01 Jun 2020," (Reuters) - Britain's AstraZeneca (L:AZN) has clinched expanded regulatory backing for two medications, including one for blockbuster cancer treatment Lynparza, in a development..."
London stocks jump as retailers set to reopen from shutdown,01 Jun 2020," By Sagarika Jaisinghani (Reuters) - London-listed shares rose more than 1% on Monday as retailers prepared to reopen stores following a months-long coronavirus-led lockdown, with..."
Oxford Biomedica hires French pharma veteran after signing vaccine deal,01 Jun 2020,(Reuters) - Gene and cell therapy firm  Oxford Biomedica  plc (L:OXB) said on Monday it had appointed French pharmaceutical industry veteran Roch Doliveux as its non-executive...
UPDATE 1-UK Stocks-Factors to watch on May 29,29 May 2020,"(Adds futures, news items) May 29 (Reuters) - Britain's FTSE 100 index is seen opening 52 points lower on Friday, according to financial bookmakers, with futures FFIc1 down 0.9%. *..."
UK Stocks-Factors to watch on May 29,29 May 2020,"May 29 (Reuters) - Britain's FTSE 100 index is seen opening 52 points lower on Friday, according to financial bookmakers. * ECONOMY: British business confidence fell to its lowest..."
"FTSE 100 up as AstraZeneca, GSK climb on vaccine hopes",28 May 2020," By Sagarika Jaisinghani and Ambar Warrick (Reuters) - UK shares ended higher on Thursday, helped by drugmakers AstraZeneca and GSK as markets looked for more progress in the..."
AstraZeneca partners with Oxford Biomedica to expand COVID-19 vaccine manufacturing capacity,28 May 2020," (Reuters) - AstraZeneca (L:AZN) has partnered with British cell therapy company  Oxford Biomedica  (L:OXB) to make its experimental COVID-19 vaccine, as the drugmaker looks to..."
UK Stocks-Factors to watch on May 28,28 May 2020,"May 28 (Reuters) - Britain's FTSE 100 index is seen opening 42 points higher on Thursday, according to financial bookmakers. * ASTRAZENECA: AstraZeneca PLC (LON:AZN) is testing one..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 1.34%,27 May 2020,"Investing.com – U.K. equities were higher at the close on Wednesday, as gains in the Automobiles & Parts, Oil Equipment Services & Distribution and Construction & Materials sectors..."
